Time[s],Velocity-x [m/s],Velocity-y [m/s],Velocity-z [m/s],Omega-x [rad/s],Omega-y [rad/s],Omega-z [rad/s],Position-x [rad/s],Position-y [rad/s],Position-z [rad/s],Net Force-x [N],Net Force-y [N],Net Force-z [N]
0.49,0,0,-0.1,0,0,-3.14159265359,0,0,-0.049,0.00241473432876276,-0.000416969424826219,34.9648991861695
0.5,0,0,-0.1,0,0,-3.14159265359,0,0,-0.05,0.00246600574415261,-0.000508673055530928,35.4778347936425
0.51,0,0,-0.1,0,0,-3.14159265359,0,0,-0.051,0.00251383454942102,-0.000603993282857651,35.9907704011156
0.52,0,0,-0.1,0,0,-3.14159265359,0,0,-0.052,0.00255804467296154,-0.000702802312764983,36.5037060085886
0.53,0,0,-0.1,0,0,-3.14159265359,0,0,-0.053,0.00259846473726882,-0.000804964876912437,37.0166416160616
0.54,0,0,-0.1,0,0,-3.14159265359,0,0,-0.054,0.00263492835414406,-0.000910338403411967,37.5295772235347
0.55,0,0,-0.1,0,0,-3.14159265359,0,0,-0.055,0.00266727441373404,-0.0010187731987269,38.0425128310077
0.56,0,0,-0.1,0,0,-3.14159265359,0,0,-0.056,0.00269534736701562,-0.00113011264051967,38.5554484384807
0.57,0,0,-0.1,0,0,-3.14159265359,0,0,-0.057,0.00271899750129682,-0.00124419338115783,39.0683840459537
0.58,0,0,-0.1,0,0,-3.14159265359,0,0,-0.058,0.00273808120839045,-0.00136084556169275,39.5813196534267
0.59,0,0,-0.1,0,0,-3.14159265359,0,0,-0.059,0.00275246124501161,-0.00147989303602697,40.0942552608998
0.6,0,0,-0.1,0,0,-3.14159265359,0,0,-0.06,0.00276200698509075,-0.00160115360495183,40.6071908683728
0.61,0,0,-0.1,0,0,-3.14159265359,0,0,-0.061,0.0027665946635762,-0.00172443925983998,41.1201264758458
0.62,0,0,-0.1,0,0,-3.14159265359,0,0,-0.062,0.00276610761143765,-0.00184955643561307,41.6330620833189
0.63,0,0,-0.1,0,0,-3.14159265359,0,0,-0.063,0.00276043648146543,-0.00197630627273476,42.1459976907919
0.64,0,0,-0.1,0,0,-3.14159265359,0,0,-0.064,0.00274947946456905,-0.00210448488784486,42.658933298265
0.65,0,0,-0.1,0,0,-3.14159265359,0,0,-0.065,0.00273314249624602,-0.00223388365274128,43.171868905738
0.66,0,0,-0.1,0,0,-3.14159265359,0,0,-0.066,0.00271133945291793,-0.00236428948130649,43.684804513211
0.67,0,0,-0.1,0,0,-3.14159265359,0,0,-0.067,0.00268399233783055,-0.0024954851240894,44.197740120684
0.68,0,0,-0.1,0,0,-3.14159265359,0,0,-0.068,0.00265103145623188,-0.0026272494700723,44.710675728157
0.69,0,0,-0.1,0,0,-3.14159265359,0,0,-0.069,0.00261239557955967,-0.00275935785532799,45.2236113356301
0.7,0,0,-0.1,0,0,-3.14159265359,0,0,-0.07,0.00256803209840749,-0.00289158237811936,45.7365469431031
0.71,0,0,-0.1,0,0,-3.14159265359,0,0,-0.071,0.00251789716398571,-0.00302369222006207,46.2494825505761
0.72,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0720000000000001,0.00246195581786941,-0.00315545397291755,46.7624181580491
0.73,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0730000000000001,0.00240018210983067,-0.00328663197062634,47.2753537655222
0.74,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0740000000000001,0.00233255920355151,-0.00341698862612989,47.7882893729952
0.75,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0750000000000001,0.0022590794699974,-0.0035462847725473,48.3012249804682
0.76,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0760000000000001,0.0021797445683493,-0.00367428000827663,48.8141605879413
0.77,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0770000000000001,0.00209456551428489,-0.00380073304556382,49.3270961954143
0.78,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0780000000000001,0.00200356273551799,-0.00392540206208675,49.8400318028873
0.79,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0790000000000001,0.00190676611441692,-0.00404804505510096,50.3529674103603
0.8,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0800000000000001,0.00180421501766935,-0.00416842019767219,50.8659030178334
0.81,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0810000000000001,0.00169595831284834,-0.00428628619654246,51.3788386253064
0.82,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0820000000000001,0.00158205437184307,-0.0044014026511417,51.8917742327794
0.83,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0830000000000001,0.00146257106107014,-0.0045135304132925,52.4047098402524
0.84,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0840000000000001,0.00133758571847431,-0.00462243194711464,52.9176454477255
0.85,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0850000000000001,0.00120718511722397,-0.00472787168865536,53.4305810551985
0.86,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0860000000000001,0.00107146541620601,-0.00482961640477846,53.9435166626715
0.87,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0870000000000001,0.000930532097190614,-0.00492743555081313,54.4564522701446
0.88,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0880000000000001,0.000784499888849766,-0.00502110162650798,54.9693878776176
0.89,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0890000000000001,0.000633492677558314,-0.00511039052978518,55.4823234850906
0.9,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0900000000000001,0.000477643405088157,-0.00519508190784678,55.9952590925637
0.91,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0910000000000001,0.000317093953298403,-0.00527495950513028,56.5081947000367
0.92,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0920000000000001,0.000151995015881895,-0.0053498115076673,57.0211303075097
0.93,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0930000000000001,-1.7494042715574e-05,-0.00541943088335257,57.5340659149827
0.94,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0940000000000001,-0.000191205341054296,-0.00548361571767886,58.0470015224557
0.95,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0950000000000001,-0.000368962646951326,-0.00554216954446052,58.5599371299288
0.96,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0960000000000001,-0.000550581556172131,-0.00559490167109754,59.0728727374018
0.97,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0970000000000001,-0.000735869683270968,-0.00564162749793679,59.5858083448748
0.98,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0980000000000001,-0.000924626864415815,-0.00568216883125857,60.0987439523479
0.99,0,0,-0.1,0,0,-3.14159265359,0,0,-0.0990000000000001,-0.00111664537201776,-0.00571635418948716,60.6116795598209
1,0,0,-0.1,0,0,-3.14159265359,0,0,-0.1,-0.00131171014089264,-0.00574401910217093,61.1246151672939
